0x379C: tuī  # 㞜
0x379E: sóng  # 㞞
0x379F: diàn  # 㞟
0x37A0: láo  # 㞠
0x37A1: zhǎn  # 㞡
0x37A4: yín  # 㞤
0x37A5: cén  # 㞥
0x37A6: jǐ  # 㞦
0x37A7: huì  # 㞧
0x37A8: zǐ  # 㞨
0x37A9: lán  # 㞩
0x37AA: náo  # 㞪
0x37AB: jù  # 㞫
0x37AC: qìn  # 㞬
0x37AD: dài  # 㞭
0x37AF: jié  # 㞯
0x37B0: xǔ  # 㞰
0x37B1: cōng  # 㞱
0x37B2: yòng  # 㞲
0x37B3: dǒu  # 㞳
0x37B4: chí  # 㞴
0x37B6: mǐn  # 㞶
0x37B7: huáng  # 㞷
0x37B8: suì  # 㞸
0x37B9: kě  # 㞹
0x37BA: zú  # 㞺
0x37BB: hào  # 㞻
0x37BC: chéng  # 㞼
0x37BD: xuè  # 㞽
0x37BE: ní  # 㞾
0x37BF: chì  # 㞿
0x37C0: lián  # 㟀
0x37C1: àn  # 㟁
0x37C2: mǔ  # 㟂
0x37C3: sī  # 㟃
0x37C4: xiáng  # 㟄
0x37C5: yáng  # 㟅
0x37C6: huá  # 㟆
0x37C7: cuò  # 㟇
0x37C8: qiú  # 㟈
0x37C9: láo  # 㟉
0x37CA: fú  # 㟊
0x37CB: duì  # 㟋
0x37CC: máng  # 㟌
0x37CD: láng  # 㟍
0x37CE: tuǒ  # 㟎
0x37CF: hán  # 㟏
0x37D0: mǎng  # 㟐
0x37D1: bó  # 㟑
0x37D2: qūn  # 㟒
0x37D3: qí  # 㟓
0x37D4: hán  # 㟔
0x37D6: lòng  # 㟖
0x37D8: tiáo  # 㟘
0x37D9: zé  # 㟙
0x37DA: qí  # 㟚
0x37DB: zàn  # 㟛
0x37DC: mí  # 㟜
0x37DD: péi  # 㟝
0x37DE: zhàn  # 㟞
0x37DF: xiàng  # 㟟
0x37E0: gǎng  # 㟠
0x37E2: qí  # 㟢
0x37E4: lù  # 㟤
0x37E6: yùn  # 㟦
0x37E7: è  # 㟧
0x37E8: duān  # 㟨
0x37E9: mín  # 㟩
0x37EA: wēi  # 㟪
0x37EB: quán  # 㟫
0x37EC: sǒu  # 㟬
0x37ED: mín  # 㟭
0x37EE: tū  # 㟮
0x37F0: mǐng  # 㟰
0x37F1: yǎo  # 㟱
0x37F2: jué  # 㟲
0x37F3: lì  # 㟳
0x37F4: kuài  # 㟴
0x37F5: gǎng  # 㟵
0x37F6: yuán  # 㟶
0x37F7: da  # 㟷
0x37F9: láo  # 㟹
0x37FA: lóu  # 㟺
0x37FB: qiàn  # 㟻
0x37FC: áo  # 㟼
0x37FD: biǎo  # 㟽
0x37FE: yōng  # 㟾
0x37FF: mǎng  # 㟿
0x3800: dǎo  # 㠀
0x3802: áo  # 㠂
0x3804: xí  # 㠄
0x3805: fú  # 㠅
0x3806: dān  # 㠆
0x3807: jiù  # 㠇
0x3808: rùn  # 㠈
0x3809: tóng  # 㠉
0x380A: qū  # 㠊
0x380B: è  # 㠋
0x380C: qī  # 㠌
0x380D: jí  # 㠍
0x380E: jí  # 㠎
0x380F: huá  # 㠏
0x3810: jiào  # 㠐
0x3811: zuì  # 㠑
0x3812: biǎo  # 㠒
0x3813: méng  # 㠓
0x3814: bài  # 㠔
0x3815: wěi  # 㠕
0x3816: yǐ  # 㠖
0x3817: ào  # 㠗
0x3818: yǔ  # 㠘
0x3819: háo  # 㠙
0x381A: duì  # 㠚
0x381B: wò  # 㠛
0x381C: nì  # 㠜
0x381D: cuán  # 㠝
0x381F: lí  # 㠟
0x3820: lú  # 㠠
0x3821: niǎo  # 㠡
0x3822: huái  # 㠢
0x3823: lì  # 㠣
0x3825: lǜ  # 㠥
0x3826: fēng  # 㠦
0x3827: mǐ  # 㠧
0x3828: yù  # 㠨
0x382A: jù  # 㠪
0x382D: zhǎn  # 㠭
0x382E: pēng  # 㠮
0x382F: yǐ  # 㠯
0x3831: jì  # 㠱
0x3832: bǐ  # 㠲
0x3834: rèn  # 㠴
0x3835: huāng  # 㠵
0x3836: fán  # 㠶
0x3837: gé  # 㠷
0x3838: kù  # 㠸
0x3839: jiè  # 㠹
0x383A: shā  # 㠺
0x383C: sī  # 㠼
0x383D: tóng  # 㠽
0x383E: yuān  # 㠾
0x383F: zī  # 㠿
0x3840: bì  # 㡀
0x3841: kuǎ  # 㡁
0x3842: lì  # 㡂
0x3843: huāng  # 㡃
0x3844: xún  # 㡄
0x3845: nuǒ  # 㡅
0x3847: zhé  # 㡇
0x3848: wèn  # 㡈
0x3849: xián  # 㡉
0x384A: qià  # 㡊
0x384B: yé  # 㡋
0x384C: mào  # 㡌
0x384F: shù  # 㡏
0x3851: qiāo  # 㡑
0x3852: zhūn  # 㡒
0x3853: kūn  # 㡓
0x3854: wù  # 㡔
0x3855: yīng  # 㡕
0x3856: chuáng  # 㡖
0x3857: tí  # 㡗
0x3858: lián  # 㡘
0x3859: bī  # 㡙
0x385A: gōu  # 㡚
0x385B: máng  # 㡛
0x385C: xiè  # 㡜
0x385D: fèng  # 㡝
0x385E: lóu  # 㡞
0x385F: zāo  # 㡟
0x3860: zhèng  # 㡠
0x3861: chú  # 㡡
0x3862: màn  # 㡢
0x3863: lóng  # 㡣
0x3865: yìn  # 㡥
0x3866: pīn  # 㡦
0x3867: zhèng  # 㡧
0x3868: jiān  # 㡨
0x3869: luán  # 㡩
0x386A: nié  # 㡪
0x386B: yì  # 㡫
0x386D: jì  # 㡭
0x386E: jí  # 㡮
0x386F: zhái  # 㡯
0x3870: yǔ  # 㡰
0x3871: jiǔ  # 㡱
0x3872: huán  # 㡲
0x3873: zhǐ  # 㡳
0x3874: lā  # 㡴
0x3875: líng  # 㡵
0x3876: zhǐ  # 㡶
