0x5403: chī  # 吃
0x5404: gè  # 各
0x5406: yāo  # 吆
0x5408: hé  # 合
0x5409: jí  # 吉
0x540A: diào  # 吊
0x540C: tóng,tong,tòng  # 同
0x540D: míng  # 名
0x540E: hoù  # 后
0x5410: tǔ,tù  # 吐
0x5411: xiàng  # 向
0x5413: xià  # 吓
0x5417: ma,má  # 吗
0x541B: jūn  # 君
0x541E: tūn  # 吞
0x541F: yín  # 吟
0x5426: foǔ  # 否
0x5427: ba  # 吧
0x5428: dūn  # 吨
0x5429: fēn  # 吩
0x542B: hán  # 含
0x542C: tīng,ting  # 听
0x542D: kēng  # 吭
0x542F: qǐ  # 启
0x5435: chǎo  # 吵
0x5436: ne,nà  # 吶
0x5438: xī  # 吸
0x5439: chuī  # 吹
0x543B: wěn  # 吻
0x543C: hoǔ  # 吼
0x5440: ya,yā  # 呀
0x5443: è  # 呃
0x5446: dāi  # 呆
0x5448: chéng  # 呈
0x544A: gào  # 告
0x5450: ne,nà  # 呐
0x5457: bei  # 呗
0x5458: yuán  # 员
0x545C: wū  # 呜
0x5462: ne,ní  # 呢
0x5468: zhoū  # 周
0x5473: wèi  # 味
0x5475: ā,hē  # 呵
0x5478: pēi  # 呸
0x547B: shēn  # 呻
0x547C: hū,hu  # 呼
0x547D: mìng  # 命
0x5480: jǔ  # 咀
0x5482: zā  # 咂
0x5486: páo  # 咆
0x548B: zǎ  # 咋
0x548C: hé,huo,he,hè  # 和
0x5490: fu  # 咐
0x5492: zhoù  # 咒
0x5495: gu  # 咕
0x5496: kā  # 咖
0x5499: lóng  # 咙
0x549B: níng  # 咛
0x54A6: yí  # 咦
0x54A7: lie  # 咧
0x54AC: yǎo  # 咬
0x54B1: zán,zan  # 咱
0x54B3: hāi,ké  # 咳
0x54B8: xián  # 咸
0x54BD: yàn,yè,yān  # 咽
0x54C0: āi  # 哀
0x54C1: pǐn  # 品
0x54C4: hōng,hǒng  # 哄
0x54C6: duō  # 哆
0x54C7: wa,wā  # 哇
0x54C8: hā  # 哈
0x54CD: xiǎng  # 响
0x54CE: āi  # 哎
0x54CF: gén  # 哏
0x54D1: yǎ  # 哑
0x54D7: huā  # 哗
0x54DF: yō,yo  # 哟
0x54E1: yuán  # 員
0x54E5: gē,ge  # 哥
0x54E6: ó,ò,é  # 哦
0x54E7: chī  # 哧
0x54E8: shào  # 哨
0x54E9: li  # 哩
0x54EA: nǎ,na  # 哪
0x54ED: kū  # 哭
0x54EE: xiāo  # 哮
0x54F2: zhé  # 哲
0x54FA: bǔ  # 哺
0x54FC: hēng  # 哼
0x54FD: gěng  # 哽
0x5504: bei  # 唄
0x5507: chún  # 唇
0x5524: huàn,huan  # 唤
0x552C: hu  # 唬
0x552E: shoù  # 售
0x552F: wéi  # 唯
0x5530: shuā  # 唰
0x5531: chàng  # 唱
0x553E: tuò  # 唾
0x5543: kěn  # 啃
0x5544: zhuó  # 啄
0x5546: shāng  # 商
0x554A: a,ā  # 啊
0x554F: wèn,wen  # 問
0x555E: yǎ  # 啞
0x555F: qǐ  # 啟
0x5561: fēi  # 啡
0x5564: pí  # 啤
0x5565: shà  # 啥
0x5566: la,lā  # 啦
0x556A: pā  # 啪
0x5578: xiào  # 啸
0x557C: tí  # 啼
0x557E: jiū  # 啾
0x5582: wèi  # 喂
0x5583: nán  # 喃
0x5584: shàn  # 善
0x5587: lǎ  # 喇
0x5589: hoú  # 喉
0x558A: hǎn  # 喊
0x5594: ō  # 喔
0x5598: chuǎn  # 喘
0x559A: huàn,huan  # 喚
0x559C: xǐ  # 喜
0x559D: hē,he,hè  # 喝
0x55AA: sàng  # 喪
0x55AE: dān  # 單
0x55B2: yō,yo  # 喲
0x55B7: pēn  # 喷
0x55BD: lou  # 喽
0x55C5: xiù  # 嗅
0x55CE: ma,má  # 嗎
0x55D0: hài  # 嗐
0x55D3: sǎng  # 嗓
0x55DA: wū  # 嗚
0x55E1: wēng  # 嗡
0x55E6: suo  # 嗦
0x55E8: hāi  # 嗨
0x55EC: hē  # 嗬
0x55EF: ń,ň,ǹ,nǵ,nǧ,ng̀  # 嗯
0x55FD: sou  # 嗽
0x5600: dí  # 嘀
0x5606: tàn  # 嘆
0x5608: cáo  # 嘈
0x560D: lou  # 嘍
0x5617: cháng  # 嘗
0x5618: xū  # 嘘
0x561B: ma,má  # 嘛
0x5629: huā  # 嘩
0x562F: xiào  # 嘯
0x5631: zhǔ  # 嘱
0x5632: cháo  # 嘲
0x5634: zuǐ  # 嘴
0x5636: sī  # 嘶
0x563B: xī  # 嘻
0x563F: hēi  # 嘿
0x5653: xū  # 噓
0x5662: ō  # 噢
0x5668: qì  # 器
0x566A: zào  # 噪
0x5674: pēn  # 噴
0x5678: dūn  # 噸
0x5680: níng  # 嚀
0x5687: xià  # 嚇
0x56A8: lóng  # 嚨
0x56B4: yán  # 嚴
0x56B7: rǎng  # 嚷
0x56BC: jué  # 嚼
0x56D1: zhǔ  # 囑
0x56DB: sì  # 四
0x56DE: huí  # 回
0x56E0: yīn  # 因
0x56E2: tuán  # 团
0x56EA: cōng  # 囪
0x56ED: yuán  # 园
0x56F0: kùn  # 困
0x56F1: cōng  # 囱
0x56F4: wéi  # 围
0x56FA: gù  # 固
0x56FD: guó  # 国
0x56FE: tú  # 图
0x5706: yuán  # 圆
0x5708: quān,juàn  # 圈
0x570B: guó  # 國
0x570D: wéi  # 圍
0x5712: yuán  # 園
0x5713: yuán  # 圓
0x5716: tú  # 圖
0x5718: tuán  # 團
0x571F: tǔ  # 土
0x5723: shèng  # 圣
0x5728: zài  # 在
0x5730: de,dì  # 地
0x573A: chǎng,cháng  # 场
0x573E: jī  # 圾
0x5740: zhǐ  # 址
0x5747: jūn  # 均
0x574A: fang  # 坊
0x574E: kǎn  # 坎
0x574F: huài  # 坏
0x5750: zuò  # 坐
0x5751: kēng  # 坑
0x5757: kuài  # 块
0x575A: jiān  # 坚
0x575D: bà  # 坝
0x575F: fén  # 坟
0x5760: zhuì  # 坠
0x5761: pō  # 坡
0x5766: tǎn  # 坦
0x576F: pī  # 坯
0x5782: chuí  # 垂
0x5783: lā  # 垃
0x5784: lǒng  # 垄
0x578B: xíng  # 型
0x5792: lěi  # 垒
0x57A6: kěn  # 垦
0x57AB: diàn  # 垫
0x57AE: kuǎ  # 垮
0x57C3: āi  # 埃
0x57CB: mái,mán  # 埋
0x57CE: chéng  # 城
0x57DF: yù  # 域
0x57E0: bù  # 埠
0x57F7: zhí  # 執
0x57F9: péi  # 培
0x57FA: jī  # 基
0x5802: táng,tang  # 堂
0x5805: jiān  # 堅
0x5806: duī  # 堆
0x5821: bǎo  # 堡
0x5824: dī  # 堤
0x582A: kān  # 堪
0x5830: yàn  # 堰
0x5831: bào  # 報
0x5834: chǎng,cháng  # 場
0x5835: dǔ  # 堵
0x584A: kuài  # 塊
0x584C: tā  # 塌
0x5851: sù  # 塑
0x5854: tǎ  # 塔
0x5858: táng  # 塘
0x585E: sāi,sè  # 塞
0x586B: tián  # 填
0x5875: chén  # 塵
0x5883: jìng  # 境
0x588A: diàn  # 墊
0x5893: mù  # 墓
0x5899: qiáng  # 墙
0x589C: zhuì  # 墜
