0x4F84: zhí  # 侄
0x4F86: lái  # 來
0x4F88: chǐ  # 侈
0x4F89: kuǎ  # 侉
0x4F8B: lì  # 例
0x4F8D: shì  # 侍
0x4F8F: zhū  # 侏
0x4F91: yòu  # 侑
0x4F94: móu  # 侔
0x4F96: lún  # 侖
0x4F97: dòng,tóng,tǒng  # 侗
0x4F98: chà  # 侘
0x4F9B: gōng,gòng  # 供
0x4F9C: zhōu  # 侜
0x4F9D: yī  # 依
0x4FA0: xiá  # 侠
0x4FA3: lǚ  # 侣
0x4FA5: jiǎo,yáo  # 侥
0x4FA6: zhēn  # 侦
0x4FA7: cè,zè,zhāi  # 侧
0x4FA8: qiáo  # 侨
0x4FA9: kuài  # 侩
0x4FAA: chái  # 侪
0x4FAC: nóng  # 侬
0x4FAE: wǔ  # 侮
0x4FAF: hóu,hòu  # 侯
0x4FB4: chǒu  # 侴
0x4FB5: qīn  # 侵
0x4FB7: jú  # 侷
0x4FB9: tǐng  # 侹
0x4FBB: tuì,tuō  # 侻
0x4FBF: biàn,pián  # 便
0x4FC2: xì  # 係
0x4FC3: cù  # 促
0x4FC4: é  # 俄
0x4FC5: qiú  # 俅
0x4FCA: jùn  # 俊
0x4FCD: liáng  # 俍
0x4FCE: zǔ  # 俎
0x4FCF: qiào  # 俏
0x4FD0: lì  # 俐
0x4FD1: yǒng  # 俑
0x4FD7: sú  # 俗
0x4FD8: fú  # 俘
0x4FDA: lǐ  # 俚
0x4FDB: fǔ,miǎn  # 俛
0x4FDC: pīng  # 俜
0x4FDD: bǎo  # 保
0x4FDE: shù,yú  # 俞
0x4FDF: qí,sì  # 俟
0x4FE0: xiá  # 俠
0x4FE1: xìn  # 信
0x4FE3: yǔ  # 俣
0x4FE4: dì  # 俤
0x4FE6: chóu  # 俦
0x4FE8: yǎn  # 俨
0x4FE9: liǎ,liǎng  # 俩
0x4FEA: lì  # 俪
0x4FED: jiǎn  # 俭
0x4FEE: xiū  # 修
0x4FEF: fǔ  # 俯
0x4FF1: jū,jù  # 俱
0x4FF3: pái  # 俳
0x4FF5: biào  # 俵
0x4FF6: chù,tì  # 俶
0x4FF8: fèng  # 俸
0x4FFA: ǎn  # 俺
0x4FFB: bèi  # 俻
0x4FFE: bǐ  # 俾
0x5000: chāng  # 倀
0x5002: bìng  # 倂
0x5005: cuì  # 倅
0x5006: liǎ,liǎng  # 倆
0x5008: lái  # 倈
0x5009: cāng  # 倉
0x500B: gě,gè  # 個
0x500C: guān  # 倌
0x500D: bèi  # 倍
0x500F: shū  # 倏
0x5010: shū  # 倐
0x5012: dǎo,dào  # 倒
0x5013: tán  # 倓
0x5014: jué,juè  # 倔
0x5016: xìng  # 倖
0x5018: cháng,tǎng  # 倘
0x5019: hòu  # 候
0x501A: yǐ  # 倚
0x501C: tì  # 倜
0x501E: jìng,liàng  # 倞
0x501F: jiè  # 借
0x5021: chàng  # 倡
0x5022: jié  # 倢
0x5023: fǎng  # 倣
0x5025: kōng,kǒng  # 倥
0x5026: juàn  # 倦
0x5028: jù  # 倨
0x5029: qiàn  # 倩
0x502A: ní  # 倪
0x502B: lún  # 倫
0x502C: zhuō  # 倬
0x502D: wō  # 倭
0x502E: luǒ  # 倮
0x5033: zì  # 倳
0x5034: bèn  # 倴
0x5037: nǎi  # 倷
0x5038: cǎi  # 倸
0x503A: zhài  # 债
0x503B: yē  # 倻
0x503C: zhí  # 值
0x503E: qīng  # 倾
0x5041: chēng  # 偁
0x5043: yǎn  # 偃
0x5047: jiǎ,jià  # 假
0x5048: jì,jié  # 偈
0x5049: wěi  # 偉
0x504A: yǔ  # 偊
0x504C: ruò  # 偌
0x504E: wēi  # 偎
0x504F: piān  # 偏
0x5053: wò  # 偓
0x5055: xié  # 偕
0x505A: zuò  # 做
0x505C: tíng  # 停
0x5062: chǒu,qiào  # 偢
0x5065: jiàn  # 健
0x506A: bī  # 偪
0x506C: zǒng  # 偬
0x5070: xiè  # 偰
0x5072: cāi,sī  # 偲
0x5076: ǒu  # 偶
0x5077: tōu  # 偷
0x507A: zá,zán,zan  # 偺
0x507B: lóu,lǚ  # 偻
0x507D: wěi  # 偽
0x507E: fèn  # 偾
0x507F: cháng  # 偿
0x5080: guī,kuǐ  # 傀
0x5085: fù  # 傅
0x5088: lì  # 傈
0x5089: nù  # 傉
0x508D: bàng  # 傍
0x508E: diān  # 傎
0x5091: jié  # 傑
0x5092: xī  # 傒
0x5095: jué  # 傕
0x5096: cāng,chen  # 傖
0x5098: sǎn  # 傘
0x5099: bèi  # 備
0x509A: xiào  # 傚
0x509C: yáo  # 傜
0x50A2: jiā  # 傢
0x50A3: dǎi  # 傣
0x50A4: zài  # 傤
0x50A5: tǎng  # 傥
0x50A7: bīn  # 傧
0x50A8: chǔ  # 储
0x50A9: nuó  # 傩
0x50AC: cuī  # 催
0x50AD: yōng  # 傭
0x50AF: zǒng  # 傯
0x50B2: ào  # 傲
0x50B3: chuán,zhuàn  # 傳
0x50B4: yǔ  # 傴
0x50B7: shāng  # 傷
0x50BA: chì  # 傺
0x50BB: shǎ  # 傻
0x50C2: lóu,lǚ  # 僂
0x50C4: piào  # 僄
0x50C5: jǐn,jìn  # 僅
0x50C7: lù  # 僇
0x50C9: qiān  # 僉
0x50CA: xiān  # 僊
0x50CD: dòng  # 働
0x50CF: xiàng  # 像
0x50D1: qiáo  # 僑
0x50D5: pú  # 僕
0x50D6: xī  # 僖
0x50DA: liáo  # 僚
0x50DD: chán  # 僝
0x50DE: wěi  # 僞
0x50E1: huì  # 僡
0x50E2: chuǎn  # 僢
0x50E5: jiǎo,yáo  # 僥
0x50E6: jiù  # 僦
0x50E7: sēng  # 僧
0x50EC: jiāo  # 僬
0x50ED: jiàn  # 僭
0x50EE: tóng,zhuàng  # 僮
0x50F0: bó  # 僰
0x50F1: gù  # 僱
0x50F3: sù  # 僳
0x50F5: jiāng  # 僵
0x50F6: mǐn  # 僶
0x50F9: jià,jie  # 價
0x50FB: pì  # 僻
0x50FD: zhòu  # 僽
0x5100: yí  # 儀
0x5101: jùn  # 儁
0x5102: nóng  # 儂
0x5104: yì  # 億
0x5105: dàng  # 儅
0x5106: jǐng  # 儆
0x5107: xuān  # 儇
0x5108: kuài  # 儈
0x5109: jiǎn  # 儉
0x510B: dān  # 儋
0x510D: shǎ  # 儍
0x5110: bīn  # 儐
0x5112: rú  # 儒
0x5113: tái  # 儓
0x5114: chóu  # 儔
0x5115: chái  # 儕
0x5117: nǐ  # 儗
0x5118: jǐn  # 儘
0x511F: cháng  # 償
0x5121: lěi  # 儡
0x512A: yōu  # 優
0x512D: chèn  # 儭
0x5131: lǒng  # 儱
0x5134: ráng  # 儴
0x5135: shū  # 儵
0x5137: lì  # 儷
0x5138: luó  # 儸
0x5139: zǎn  # 儹
0x513A: nuó  # 儺
0x513B: tǎng  # 儻
0x513C: yǎn  # 儼
0x513D: léi  # 儽
0x513F: ér  # 儿
0x5140: wū,wù  # 兀
0x5141: yǔn  # 允
0x5143: yuán  # 元
0x5144: xiōng  # 兄
0x5145: chōng  # 充
0x5146: zhào  # 兆
0x5147: xiōng  # 兇
0x5148: xiān  # 先
0x5149: guāng  # 光
0x514B: kè  # 克
0x514D: miǎn  # 免
0x514E: tù  # 兎
0x5151: duì  # 兑
0x5152: ér,ní  # 兒
0x5154: tù  # 兔
0x5155: sì  # 兕
0x5156: yǎn  # 兖
0x515A: dǎng  # 党
0x515C: dōu  # 兜
0x5162: jīng  # 兢
0x5165: rù  # 入
0x5168: quán  # 全
0x5169: liǎng  # 兩
0x516B: bā,bá  # 八
0x516C: gōng  # 公
0x516D: liù,lù  # 六
0x516E: xī  # 兮
0x5170: lán  # 兰
0x5171: gòng  # 共
0x5173: guān  # 关
0x5174: xīng,xìng  # 兴
0x5175: bīng  # 兵
0x5176: jī,qí  # 其
0x5177: jù  # 具
0x5178: diǎn  # 典
0x5179: cí,zī  # 兹
0x517B: yǎng  # 养
0x517C: jiān  # 兼
0x517D: shòu  # 兽
0x5180: jì  # 冀
0x5181: chǎn  # 冁
0x5184: rǎn  # 冄
0x5185: nèi  # 内
0x5187: mǎo  # 冇
0x5188: gāng  # 冈
0x5189: rǎn  # 冉
0x518A: cè  # 冊
0x518C: cè  # 册
0x518D: zài  # 再
0x518F: jiǒng  # 冏
0x5192: mào,mò  # 冒
0x5193: gòu  # 冓
0x5195: miǎn  # 冕
0x5197: rǒng  # 冗
0x5199: xiě,xiè  # 写
0x519B: jūn  # 军
0x519C: nóng  # 农
0x51A0: guān,guàn  # 冠
0x51A2: zhǒng  # 冢
0x51A4: yuān  # 冤
0x51A5: míng  # 冥
0x51AA: mì  # 冪
0x51AC: dōng  # 冬
0x51AE: gāng  # 冮
0x51AF: féng,píng  # 冯
0x51B0: bīng  # 冰
0x51B1: hù  # 冱
0x51B2: chōng,chòng  # 冲
0x51B3: jué  # 决
0x51B5: kuàng  # 况
0x51B6: yě  # 冶
0x51B7: lěng  # 冷
0x51BB: dòng  # 冻
0x51BC: xiǎn  # 冼
0x51BD: liè  # 冽
0x51C0: jìng  # 净
0x51C3: tú  # 凃
0x51C4: qī  # 凄
0x51C6: zhǔn  # 准
0x51C7: sōng  # 凇
0x51C9: liáng,liàng  # 凉
0x51CA: qìng  # 凊
0x51CB: diāo  # 凋
0x51CC: líng  # 凌
0x51CD: dòng  # 凍
0x51CF: jiǎn  # 减
0x51D1: còu  # 凑
0x51D3: lì  # 凓
0x51D4: chuàng  # 凔
0x51D8: sī  # 凘
0x51D9: duó  # 凙
0x51DB: lǐn  # 凛
0x51DC: lǐn  # 凜
0x51DD: níng  # 凝
0x51DF: dú  # 凟
0x51E0: jī,jǐ  # 几
0x51E1: fán  # 凡
0x51E2: fán  # 凢
0x51E4: fèng  # 凤
0x51E6: chǔ,chù  # 処
0x51EB: fú  # 凫
0x51ED: píng  # 凭
0x51EF: kǎi  # 凯
0x51F0: huáng  # 凰
0x51F1: kǎi  # 凱
0x51F3: dèng  # 凳
0x51F4: píng  # 凴
0x51F6: xiōng  # 凶
0x51F7: kuài  # 凷
0x51F8: tū  # 凸
0x51F9: āo,wā  # 凹
0x51FA: chū  # 出
0x51FB: jī  # 击
0x51FC: dàng  # 凼
0x51FD: hán  # 函
0x51FF: záo,zuò  # 凿
0x5200: dāo  # 刀
0x5201: diāo  # 刁
0x5203: rèn  # 刃
0x5204: rèn  # 刄
0x5206: fēn,fèn  # 分
0x5207: qiē,qiè  # 切
0x5208: yì  # 刈
0x520A: kān  # 刊
0x520C: cǔn  # 刌
0x520D: chú  # 刍
0x520E: wěn  # 刎
0x5211: xíng  # 刑
0x5212: huá,huà,huai  # 划
0x5213: wán  # 刓
0x5216: yuè  # 刖
0x5217: liè  # 列
0x5218: liú  # 刘
0x5219: zé  # 则
0x521A: gāng  # 刚
0x521B: chuāng,chuàng  # 创
0x521C: fú  # 刜
0x521D: chū  # 初
0x5220: shān  # 删
0x5224: pàn  # 判
0x5226: jié  # 刦
0x5227: jié  # 刧
0x5228: bào,páo  # 刨
0x5229: lì  # 利
0x522A: shān  # 刪
0x522B: bié,biè  # 别
0x522C: chǎn,chàn  # 刬
0x522D: jǐng  # 刭
0x522E: guā  # 刮
0x5230: dào  # 到
0x5232: kuī  # 刲
0x5233: kū  # 刳
0x5234: duò  # 刴
0x5235: èr  # 刵
0x5236: zhì  # 制
0x5237: shuā,shuà  # 刷
0x5238: quàn,xuàn  # 券
0x5239: chà,shā  # 刹
0x523A: cī,cì  # 刺
0x523B: kè  # 刻
0x523C: jié  # 刼
0x523D: guì  # 刽
0x523F: guì  # 刿
0x5240: kǎi  # 剀
0x5241: duò  # 剁
0x5242: jì  # 剂
0x5243: tì  # 剃
0x5244: jǐng  # 剄
0x5245: lóu  # 剅
0x5249: cuò  # 剉
0x524A: xiāo,xuē  # 削
0x524B: kè,kēi  # 剋
0x524C: lá,là  # 剌
0x524D: qián  # 前
0x524F: chuàng  # 剏
0x5250: guǎ  # 剐
0x5251: jiàn  # 剑
0x5252: cuò  # 剒
0x5254: tī  # 剔
0x5255: fèi  # 剕
0x5256: pōu  # 剖
0x5257: chǎn,chàn  # 剗
0x5259: chuàng  # 剙
0x525A: zì  # 剚
0x525B: gāng  # 剛
0x525C: wān  # 剜
0x525E: jī  # 剞
0x525F: duō  # 剟
0x5260: qíng  # 剠
0x5261: shàn,yǎn  # 剡
0x5265: bāo,bō  # 剥
0x5267: jù  # 剧
0x5268: huō  # 剨
0x5269: shèng  # 剩
0x526A: jiǎn  # 剪
0x526E: guǎ  # 剮
0x526F: fù  # 副
0x5272: gē  # 割
0x5274: kǎi  # 剴
